ID,Year,truncated,pval,significant
6,2004,0,2e-4,1
6,2004,0,7e-4,1
6,2004,0,0.51,0
6,2004,0,0.137,0
6,2004,0,0.46,0
6,2004,0,0.007,1
16,2004,0,0.509,0
16,2004,0,0.719,0
23,2004,0,0.23,0
23,2004,0,0.57,0
23,2004,0,0.2,0
23,2004,0,0.29,0
23,2004,0,0.49,0
23,2004,0,0.001,1
42,2004,0,0.11,0
44,2004,0,0.0236,1
46,2004,0,0.018,1
47,2004,0,1e-5,1
47,2004,0,0.07,0
75,2004,0,0.04,1
75,2004,0,0.05,0
78,2004,0,0,1
78,2004,0,0,1
78,2004,0,0,1
78,2004,0,0,1
79,2004,0,0.07,0
82,2004,0,0.001,1
82,2004,0,0.014,1
82,2004,0,0.008,1
82,2004,0,0.16,0
82,2004,0,0.8,0
82,2004,0,0.014,1
82,2004,0,0.08,0
82,2004,0,0.8,0
85,2004,0,0.01,1
85,2004,0,0.003,1
85,2004,0,0.04,1
85,2004,0,0.006,1
105,2004,0,0.078,0
123,2004,0,0.048,1
123,2004,0,0.0025,1
123,2004,0,0.001,1
124,2004,0,1e-4,1
124,2004,0,1e-4,1
124,2004,0,1e-5,1
124,2004,0,0.27,0
125,2004,0,0.02,1
125,2004,0,0.009,1
126,2004,0,0.03,1
131,2004,0,0.05,0
138,2004,0,0.02,1
138,2004,0,0.032,1
150,2004,0,0.017,1
150,2004,0,0.024,1
151,2004,0,0.047,1
155,2004,0,0.02,1
155,2004,0,0.072,0
155,2004,0,0.001,1
155,2004,0,0.0025,1
155,2004,0,0.0131,1
157,2004,0,0.52,0
157,2004,0,0.39,0
157,2004,0,0.86,0
158,2004,0,1e-5,1
159,2004,0,0.138,0
159,2004,0,0.25,0
160,2004,0,0.01245,1
164,2004,0,0.002,1
164,2004,0,0.0047,1
164,2004,0,6e-4,1
165,2004,0,0.048,1
165,2004,0,4e-4,1
165,2004,0,0.016,1
165,2004,0,0.001,1
166,2004,0,0.02,1
166,2004,0,0.04,1
166,2004,0,0.03,1
166,2004,0,0.02,1
167,2004,0,0.002,1
167,2004,0,2e-4,1
167,2004,0,0.049,1
167,2004,0,0.039,1
169,2004,0,3e-4,1
169,2004,0,5e-4,1
169,2004,0,0.015,1
169,2004,0,2e-4,1
169,2004,0,0.021,1
169,2004,0,0.015,1
169,2004,0,0.001,1
172,2004,0,0.88,0
2,2004,1,0.05,0
2,2004,1,0.05,0
2,2004,1,0.05,0
6,2004,1,1e-4,1
6,2004,1,1e-4,1
6,2004,1,1e-4,1
9,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
15,2004,1,2e-4,1
15,2004,1,2e-4,1
15,2004,1,0.03,1
15,2004,1,1e-4,1
15,2004,1,0.001,1
15,2004,1,0.89,0
20,2004,1,0.05,0
20,2004,1,0.05,0
20,2004,1,0.05,0
20,2004,1,0.05,0
21,2004,1,0.05,0
22,2004,1,0.05,0
30,2004,1,0.05,0
30,2004,1,0.05,0
31,2004,1,0.05,0
33,2004,1,0.001,1
33,2004,1,0.05,0
33,2004,1,0.05,0
33,2004,1,0.05,0
33,2004,1,0.05,0
34,2004,1,0.02,1
34,2004,1,0.04,1
34,2004,1,0.05,0
34,2004,1,0.01,1
35,2004,1,0.001,1
37,2004,1,0.05,0
42,2004,1,0.05,0
45,2004,1,0.005,1
45,2004,1,0.005,1
46,2004,1,0.05,0
46,2004,1,0.05,0
46,2004,1,0.05,0
46,2004,1,0.05,0
48,2004,1,0.05,0
48,2004,1,0.05,0
48,2004,1,0.05,0
48,2004,1,0.05,0
48,2004,1,0.05,0
50,2004,1,0.02,1
52,2004,1,0.001,1
55,2004,1,5e-4,1
55,2004,1,5e-4,1
56,2004,1,0.006,1
56,2004,1,0.23,0
56,2004,1,0.63,0
56,2004,1,0.5,0
56,2004,1,0.21,0
56,2004,1,0.91,0
56,2004,1,0.36,0
56,2004,1,0.9,0
56,2004,1,0.63,0
56,2004,1,0.88,0
56,2004,1,0.89,0
56,2004,1,0.04,1
56,2004,1,0.03,1
56,2004,1,1e-5,1
58,2004,1,0.05,0
58,2004,1,0.05,0
58,2004,1,0.05,0
58,2004,1,0.05,0
61,2004,1,0.05,0
61,2004,1,0.05,0
61,2004,1,0.05,0
62,2004,1,0.05,0
62,2004,1,0.05,0
82,2004,1,0.05,0
85,2004,1,0.05,0
87,2004,1,0.05,0
96,2004,1,0.05,0
98,2004,1,0.05,0
98,2004,1,0.05,0
104,2004,1,0.05,0
106,2004,1,0.05,0
108,2004,1,0.05,0
108,2004,1,0.05,0
112,2004,1,0.05,0
112,2004,1,0.05,0
113,2004,1,0.05,0
113,2004,1,0.05,0
113,2004,1,0.05,0
127,2004,1,0.05,0
127,2004,1,0.05,0
129,2004,1,0.05,0
129,2004,1,0.05,0
129,2004,1,0.05,0
130,2004,1,0.001,1
130,2004,1,0.01,1
130,2004,1,0.01,1
130,2004,1,0.05,0
130,2004,1,0.05,0
130,2004,1,0.05,0
130,2004,1,0.05,0
132,2004,1,0.05,0
132,2004,1,0.05,0
133,2004,1,0.05,0
133,2004,1,0.05,0
133,2004,1,0.05,0
135,2004,1,0.05,0
136,2004,1,0.05,0
136,2004,1,0.05,0
136,2004,1,0.05,0
136,2004,1,0.05,0
137,2004,1,0.05,0
137,2004,1,0.05,0
137,2004,1,0.05,0
137,2004,1,0.05,0
137,2004,1,0.05,0
144,2004,1,0.05,0
144,2004,1,0.05,0
146,2004,1,0.05,0
153,2004,1,0.05,0
155,2004,1,0.05,0
155,2004,1,0.05,0
155,2004,1,0.05,0
155,2004,1,0.05,0
155,2004,1,0.001,1
159,2004,1,0.001,1
159,2004,1,0.001,1
159,2004,1,0.001,1
159,2004,1,0.001,1
159,2004,1,0.001,1
159,2004,1,0.04,1
159,2004,1,0.001,1
164,2004,1,0.05,0
164,2004,1,0.05,0
164,2004,1,0.05,0
164,2004,1,1e-5,1
164,2004,1,1e-5,1
165,2004,1,0.001,1
165,2004,1,1e-4,1
166,2004,1,0.001,1
169,2004,1,1e-4,1
169,2004,1,1e-5,1
171,2004,1,0.05,0
171,2004,1,0.05,0
171,2004,1,0.05,0
171,2004,1,0.05,0
171,2004,1,0.05,0
171,2004,1,0.05,0
172,2004,1,0.05,0
172,2004,1,0.05,0
172,2004,1,0.05,0
172,2004,1,0.05,0
178,2004,1,0.001,1
178,2004,1,0.001,1
178,2004,1,0.01,1
178,2004,1,0.05,0
6,2004,1,0.05,0
9,2004,1,0.05,0
9,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
12,2004,1,0.05,0
13,2004,1,0.05,0
16,2004,1,0.05,0
16,2004,1,0.05,0
16,2004,1,0.05,0
17,2004,1,0.05,0
17,2004,1,0.05,0
17,2004,1,0.05,0
30,2004,1,0.05,0
44,2004,1,0.05,0
55,2004,1,0.05,0
58,2004,1,0.05,0
58,2004,1,0.05,0
58,2004,1,0.05,0
58,2004,1,0.05,0
58,2004,1,0.05,0
58,2004,1,0.05,0
58,2004,1,0.05,0
58,2004,1,0.05,0
61,2004,1,0.05,0
104,2004,1,0.05,0
104,2004,1,0.05,0
112,2004,1,0.05,0
112,2004,1,0.05,0
113,2004,1,0.05,0
115,2004,1,0.05,0
115,2004,1,0.05,0
125,2004,1,0.05,0
125,2004,1,0.05,0
125,2004,1,0.05,0
125,2004,1,0.05,0
132,2004,1,0.05,0
132,2004,1,0.05,0
133,2004,1,0.05,0
133,2004,1,0.05,0
133,2004,1,0.05,0
137,2004,1,0.05,0
137,2004,1,0.05,0
138,2004,1,0.05,0
144,2004,1,0.05,0
144,2004,1,0.05,0
153,2004,1,0.05,0
154,2004,1,0.05,0
154,2004,1,0.05,0
155,2004,1,0.8,0
155,2004,1,0.8,0
155,2004,1,0.05,0
164,2004,1,0.05,0
164,2004,1,0.05,0
164,2004,1,0.05,0
